都道府県名,市区町村名,名称,文化財分類,種類,住所,緯度,経度
山口県,下関市,功山寺仏殿,国宝,建造物,下関市長府,34.005672,130.985809
山口県,下関市,住吉神社本殿,国宝,建造物,下関市一の宮住吉一丁目,34.002644,130.957153
山口県,山口市,瑠璃光寺五重塔,国宝,建造物,山口市香山町,34.189232,131.473114
山口県,下関市,住吉神社拝殿,重要文化財,建造物,下関市一の宮住吉一丁目,34.002644,130.957153
山口県,下関市,"旧下関英国領事館　本館・附属屋
　附　煉瓦塀・幣串",重要文化財,建造物,下関市唐戸町,33.957119,130.943436
山口県,下関市,六連島灯台,重要文化財,建造物,下関市大字六連島字船着,33.975601,130.863251
山口県,下関市,角島灯台,重要文化財,建造物,下関市豊北町大字角島,34.354969,130.859711
山口県,宇部市,宇部市渡辺翁記念会館,重要文化財,建造物,宇部市朝日町,33.957226,131.246597
山口県,山口市,"今八幡宮楼門
　附　　絵馬一枚",重要文化財,建造物,山口市八幡馬場,34.185509,131.482269
山口県,山口市,"今八幡宮本殿
　附　　宮殿三基　棟札二枚　",重要文化財,建造物,山口市八幡馬場,34.185509,131.482269
山口県,山口市,今八幡宮拝殿,重要文化財,建造物,山口市八幡馬場,34.185509,131.482269
山口県,山口市,平清水八幡宮本殿,重要文化財,建造物,山口市吉田,34.139793,131.471832
山口県,山口市,"洞春寺観音堂
　附　　伝厨子裏板一枚",重要文化財,建造物,山口市水の上町,34.186665,131.473495
山口県,山口市,"八坂神社本殿
　附　　棟札二枚",重要文化財,建造物,山口市上竪小路,34.187271,131.476929
山口県,山口市,"古熊神社本殿
　附　　宮殿一基",重要文化財,建造物,山口市古熊一丁目,34.176537,131.484314
山口県,山口市,古熊神社拝殿,重要文化財,建造物,山口市古熊一丁目,34.176537,131.484314
山口県,山口市,"月輪寺薬師堂
　附　　厨子一基　棟札二枚",重要文化財,建造物,山口市徳地上村,34.149212,131.710846
山口県,山口市,龍福寺本堂,重要文化財,建造物,山口市大殿大路,34.183681,131.48056
山口県,山口市,洞春寺山門,重要文化財,建造物,山口市水の上町,34.186665,131.473495
山口県,山口市,"山口県旧県庁舎及び県会議事堂
　附　　棟札一枚
　附　　工事関係記録六冊　設計図五枚",重要文化財,建造物,山口市滝町,34.188477,131.465515
山口県,山口市,"正八幡宮
　本殿・拝殿・楼門及び庁屋
　附　　棟札一枚",重要文化財,建造物,山口市秋穂西,34.02895,131.440475
山口県,山口市,"有近家住宅
　主屋・米蔵・長屋・漬物小屋・正門・仕込蔵及び留蔵・瓶洗場",重要文化財,建造物,山口市徳地八坂,34.223145,131.664078
山口県,萩市,"常念寺表門
　附　　棟札一枚",重要文化財,建造物,萩市下五間町,34.413631,131.401978
山口県,萩市,"旧厚狭毛利家萩屋敷長屋
　附　　棟札一枚",重要文化財,建造物,萩市大字堀内,34.416138,131.384445
山口県,萩市,"東光寺
　大雄宝殿（附　棟札三枚）・鐘楼・三門（附　棟札一枚）・総門",重要文化財,建造物,萩市大字椿東,34.426121,131.413086
山口県,萩市,"森田家住宅
　附　　貫木門一棟
　　　　塀重門一棟
　　　　文書一通　",重要文化財,建造物,萩市大字黒川,34.44828,131.477112
山口県,萩市,"口羽家住宅
　主屋・表門",重要文化財,建造物,萩市大字堀内,34.416138,131.384445
山口県,萩市,"菊屋家住宅
　主屋・本蔵・金蔵・米蔵・釜場
　附　　土塀二棟・古図一枚",重要文化財,建造物,萩市呉服町,34.412678,131.393188
山口県,萩市,"熊谷家住宅
　主屋・離れ座敷・本蔵・宝蔵",重要文化財,建造物,萩市今魚店町,34.417732,131.393845
山口県,萩市,"大照院
　本堂・庫裡・書院・鐘楼門・経蔵",重要文化財,建造物,萩市大字椿,34.389774,131.405716
山口県,防府市,"国分寺金堂
　附　　旧風鐸　一個
　　　　旧獅子口（鰭付）一個",重要文化財,建造物,防府市国分寺町,34.064667,131.579483
山口県,防府市,"旧毛利家本邸
　本館・女中部屋・台所・洗濯所・奥土蔵・台所付倉庫・用達所倉庫・二階建物置・画像堂・石橋・門番所・本門
　附　　湯沸場一棟・雑品物置上屋一棟・小使溜り一棟・作事納屋一棟・供待一棟・棟札一枚・建築関係資料176点・設計図面175枚・防府邸新築竣成報告書１冊",重要文化財,建造物,防府市多々良一丁目,34.063034,131.586716
山口県,下松市,"閼伽井坊多宝塔
　附　　棟札五枚",重要文化財,建造物,下松市大字末武上,34.043716,131.869751
山口県,岩国市,旧目加田家住宅,重要文化財,建造物,岩国市横山二丁目,34.170841,132.176147
山口県,岩国市,"吉香神社
　本殿・拝殿及び幣殿・神門・鳥居
　附　棟札二枚",重要文化財,建造物,岩国市横山二丁目,34.170841,132.176147
山口県,光市,"石城神社本殿
　附　　宮殿一基・棟札二枚",重要文化財,建造物,光市大字塩田,33.998238,132.037231
山口県,長門市,早川家住宅,重要文化財,建造物,長門市通,34.427689,131.244095
山口県,柳井市,国森家住宅,重要文化財,建造物,柳井市大字柳井津,33.967808,132.110336
山口県,山陽小野田市,旧小野田セメント製造株式会社竪窯,重要文化財,建造物,山陽小野田市大字小野田,33.957695,131.172302
山口県,上関町,"四階楼
　附　　弊串一本",重要文化財,建造物,上関町大字室津,33.846363,132.134216
山口県,防府市,"紙本墨画淡彩四季山水図　雪舟筆
　　　文明十八年の年紀がある
　附　　紙本墨書送雪舟帰国詩並序　徐璉筆　一幅
　附　　紙本墨画淡彩四季山水図　伝雲谷等顔筆　一巻",国宝,美術工芸品,防府市多々良一丁目,34.063034,131.586716
山口県,防府市,"鉄宝塔（水晶五輪塔共）
　建久八年十一月二十二日、造東大寺大勧進大和尚位南無阿弥陀仏在銘",国宝,美術工芸品,防府市大字牟礼,34.070194,131.610596
山口県,防府市,菊造腰刀　　刀身無銘　伝当麻,国宝,美術工芸品,防府市多々良一丁目,34.063034,131.586716
山口県,防府市,紙本墨書古今和歌集巻第八（高野切本）,国宝,美術工芸品,防府市多々良一丁目,34.063034,131.586716
